5,1,五仙门发电厂旧址原先的用途是什么？,1
5,2,五仙门发电厂旧址在2021年被改建成什么？,2
6,1,中央银行旧址位于哪里？,2
6,2,中央银行旧址建筑的主要特点包括哪些？,2
7,1,爱群大厦原名是什么？,2
7,2,爱群大厦在抗日战争时期为什么被涂成黑色？,2
8,1,光孝寺最初的用途是什么？,2
8,2,光孝寺在南宋时期的名称是以下哪一个？,3
9,1,广东财政厅旧址最初的用途是什么？,2
9,2,广东财政厅旧址的建筑风格特色是什么？,1
10,1,广州鲁迅纪念馆的前身是什么场所？,2
10,2,广州鲁迅纪念馆在以下哪一年被评定为广州市爱国主义教育基地？,2
11,1,海珠桥的桥梁结构特点是什么？,2
11,2,海珠桥最初建成于哪一年？,2
12,1,第一次全国劳动大会于何时在该旧址召开？,1
12,2,该旧址的礼堂在恢复后，展示了什么专题历史？,1
13,1,海幢寺的名字来源于哪个佛教典故？,1
13,2,海幢寺何时被改为海幢公园？,2
14,1,光塔寺又称为什么？,2
14,2,光塔寺与哪些其他清真寺并称为伊斯兰教传入中国后的四大著名清真寺？,2
15,1,永安堂始建于哪个朝代？,2
15,2,永安堂曾在历史上属于哪个著名药店的属号？,1
16,1,广州市政府合署旧址建成于哪一年？,2
16,2,广州市政府合署旧址的建筑风格属于哪种？,2
17,1,潘家大院建于哪一年？,1
17,2,潘家大院的建筑风格最像哪个地区的建筑？,1
18,1,塔影楼位于广州市的哪个区？,1
18,2,塔影楼的创办人陈少白是因为什么任务而创建《中国日报》？,1
19,1,太古仓旧址位于广州市的哪个区？,2
19,2,太古仓在20世纪20年代末至30年代初进行了什么重要改造？,2
20,1,文塔的建造风格属于哪个历史时期？,2
20,2,文塔的塔身主要使用了哪种建筑材料？,3
21,1,白天鹅宾馆位于广州的哪个区域？,1
21,2,白天鹅宾馆自1983年开业以来，接待过多少位来自不同国家的元首和政府首脑？,2
22,1,广州酒家在何时改制为广州酒家集团股份有限公司？,3
22,2,广州酒家于哪一年在上海证券交易所挂牌上市？,2
23,1,广州沙面建筑群何时成为英法租界？,1
23,2,广州沙面建筑群的建筑风格主要体现了哪两种文化的特点？,2
24,1,广州圣心大教堂建成于哪一年？,2
24,2,广州圣心大教堂是全球四座全石结构哥特式教堂之一，它位于哪种材质建造？,2
25,1,华林寺是由哪位佛教禅宗始祖在广州宣扬教义的地点？,1
25,2,华林寺的前身是什么？,3
26,1,莲香楼最早创建于哪一年？,2
26,2,莲香楼的“莲香”名称是由哪位翰林学士提议的？,1
27,1,六榕寺塔最早开始建设于哪个朝代？,1
27,2,六榕寺原名是什么？,1
28,1,西关大屋的建筑主要由谁建造？,1
28,2,西关大屋在1980年代初期曾被公布为文物保护单位。哪一年广州市人民政府公布其为市级文物保护单位？,1
29,1,协同和机器厂最早的前身是什么？,2
29,2,协同和机器厂在1937年生产了多少台柴油机？,3
30,1,信义·国际会馆所在的地区是广州的哪个区？,2
30,2,信义·国际会馆的建筑风格最初是什么类型的厂房？,1
31,1,粤剧艺术博物馆于哪一年对外开放？,2
31,2,截至2019年，粤剧艺术博物馆的藏品数量是多少件/套？,3
32,1,中山大学孙逸仙纪念医院创建于哪一年？,2
32,2,孙中山先生曾以哪个名字在该医院学习医学？,2
33,1,广州解放纪念像是什么时候被塑造的？,1
33,2,广州解放纪念像由哪位艺术家于1979年重建？,1
34,1,陶陶居被授予“中华老字号”称号是哪一年？,3
34,2,美财政部部长耶伦在2024年4月4日来广州的第一顿饭，吃的是哪家餐厅？,1
35,1,粤海关旧址的建筑设计师是谁？,3
35,2,粤海关大楼的竣工时间是什么时候？,2
36,1,大同酒家的前身是什么？,1
36,2,大同酒家因何原因在1942年易主？,3
37,1,南方大厦的前身是什么？,2
37,2,南方大厦在1985年开始实施什么经营策略？,2
38,1,广东邮务管理局旧址的建筑风格属于哪种风格？,2
38,2,广东邮务管理局旧址的设计由哪位建筑师负责？,1
39,1,广州南站最初的站名是什么？,1
39,2,谁曾以粤汉铁路公司总经理的身份在广州南站大楼办公？,1
40,1,中共三大会址纪念馆位于哪条街道？,1
40,2,哪位领导人未出席中共三大？,3
41,1,广州大元帅府旧址原为哪家厂房？,1
41,2,广州大元帅府旧址位于广州市的哪个区？,2
42,1,广九火车站位于广州市的哪个区？,1
42,2,广九火车站的历史可以追溯到哪个时期？,3
